gene_id	symbol	PROseq
FBgn0265414	lncRNA:CR44326	0
FBgn0263027	CG43322	99
FBgn0003046	Pcp	1
FBgn0031881	MME1	432
FBgn0031883	Caper	2582
FBgn0262872	milt	2395
FBgn0031885	Mnn1	691
FBgn0031887	Ugt307A1	1
FBgn0267915	lncRNA:CR46196	1
FBgn0265823	lncRNA:CR44612	5
FBgn0031893	MICU1	558
FBgn0264343	CG43799	3
FBgn0284084	wg	6
FBgn0031902	Wnt6	19
FBgn0031903	Wnt10	6
FBgn0002938	ninaC	1
FBgn0031905	gudu	2
FBgn0031907	CG5171	0
FBgn0031908	CG5177	1
FBgn0031910	CG15818	81
FBgn0028387	chm	1008
FBgn0264439	lncRNA:CR43857	2497
FBgn0283658	muc	869
FBgn0031914	CG5973	0
FBgn0031918	CG6055	0
FBgn0031920	CG6441	0
FBgn0083141	Spn28B	1
FBgn0031925	Cyp4d21	0
FBgn0031926	CG6739	1
FBgn0040299	Myo28B1	22
FBgn0262880	CG43235	0
FBgn0041181	Tep3	0
FBgn0267326	Ntl	1
FBgn0267689	CG46025	0
FBgn0031945	CG7191	5
FBgn0003961	Uro	0
FBgn0031946	CG7164	0
FBgn0031947	CG7154	819
FBgn0031951	r2d2	180
FBgn0261800	LanB1	1998
FBgn0027515	CG7115	586
FBgn0004177	mts	3088
FBgn0031954	CG14537	0
FBgn0040099	lectin-28C	1
FBgn0031968	CG7231	32
FBgn0266331	asRNA:CR44996	8
FBgn0031971	Sirup	61
FBgn0031975	Tg	21
FBgn0044323	Cka	2771
FBgn0031979	CCDC53	57
FBgn0031981	Megf8	2401
FBgn0010287	Trf	255
FBgn0261822	Bsg	12470
FBgn0031986	CG8673	2
FBgn0031988	CG8668	5851
FBgn0263256	CG43394	4
FBgn0051606	CG31606	0
FBgn0261064	Rbsn-5	1258
FBgn0264953	Piezo	14258
FBgn0264947	asRNA:CR44116	11
FBgn0031996	CG8460	845
FBgn0031997	PGAP5	410
FBgn0264950	asRNA:CR44119	474
FBgn0031999	CG8419	77
FBgn0032001	CG8360	360
FBgn0032002	CG8353	473
FBgn0032003	CG8349	21
FBgn0032008	CG14277	0
FBgn0032013	Scgalpha	189
FBgn0032014	CG7840	440
FBgn0032016	Mettl14	752
FBgn0032018	CG7806	1452
FBgn0032020	strat	290
FBgn0032022	CG14275	0
FBgn0032023	CG14274	4
FBgn0032024	CG14273	664
FBgn0032025	CG7778	34
FBgn0051901	Mur29B	14
FBgn0261437	CSN8	180
FBgn0260439	Pp2A-29B	4486
FBgn0032029	CG17292	396
FBgn0032030	Wdr82	408
FBgn0032032	CG17294	670
FBgn0032034	Rcd4	76
FBgn0032036	CG13384	2275
FBgn0266882	asRNA:CR45343	1
FBgn0032039	CG13385	0
FBgn0032040	CG13386	10
FBgn0051898	CG31898	153
FBgn0020497	emb	4237
FBgn0027932	Akap200	3329
FBgn0002887	mus201	1157
FBgn0051897	CG31897	396
FBgn0285971	prg	1505
FBgn0262029	d	8206
FBgn0053194	CheA29a	1
FBgn0032047	CG13088	236
FBgn0032052	PIG-U	1034
FBgn0032054	Uba4	559
FBgn0032055	CG13091	3
FBgn0016122	Acer	120
FBgn0028394	CG17834	213
FBgn0011259	Sema1a	2217
FBgn0001114	Glt	612
FBgn0260861	Trs23	62
FBgn0266327	asRNA:CR44992	109
FBgn0032061	CG9314	15
FBgn0032065	CG12438	0
FBgn0029123	SoxN	16
FBgn0052986	CG32986	0
FBgn0052987	CG32987	0
FBgn0052988	CG32988	0
FBgn0052983	CG32983	0
FBgn0032072	CG9483	0
FBgn0265587	lncRNA:CR44414	0
FBgn0085427	CG34398	20
FBgn0032074	Tsp29Fa	1
FBgn0032075	Tsp29Fb	388
FBgn0052985	CG32985	1758
FBgn0052984	CG32984	1197
FBgn0032082	CG18088	2233
FBgn0040963	CG18662	2
FBgn0032085	CG9555	0
FBgn0032086	CG17906	2
FBgn0040964	CG18661	64
FBgn0015316	Try29F	144
FBgn0032087	CG9568	0
FBgn0032088	CG13102	0
FBgn0032094	CG12439	0
FBgn0032095	Toll-4	0
FBgn0032096	Or30a	0
FBgn0052982	CG32982	2651
FBgn0032100	CG13108	105
FBgn0041092	tai	22958
FBgn0267252	Ggamma30A	6
FBgn0267012	lncRNA:CR45456	0
FBgn0032109	CG17005	0
FBgn0010314	Cks30A	176
FBgn0026439	Eaat1	9
FBgn0032110	CG3748	0
FBgn0085210	CG34181	0
FBgn0264447	asRNA:CR43865	0
FBgn0012036	Aldh	2917
FBgn0032116	Mco1	1
FBgn0000640	Fbp2	0
FBgn0262036	CG42847	0
FBgn0011232	scat	1963
FBgn0032119	CG3769	27
FBgn0002973	numb	1100
FBgn0032120	CG33298	5984
FBgn0032123	Oatp30B	88
FBgn0032122	CG31883	4
FBgn0032124	CG17855	1
FBgn0032125	Cpr30B	0
FBgn0032126	CG13113	0
FBgn0032127	CG13114	0
FBgn0032130	brwl	358
FBgn0032131	CG3841	0
FBgn0019809	gcm2	0
FBgn0040070	Trx-2	6427
FBgn0032135	GlcAT-S	1036
FBgn0032136	Apoltp	59
FBgn0053299	CG33299	0
FBgn0011207	pelo	2497
FBgn0032139	CG13116	15
FBgn0270924	zf30C	1450
FBgn0283478	und	1808
FBgn0032143	CG4017	10
FBgn0032144	CG17633	3
FBgn0032147	IP3K1	3624
FBgn0032149	CG4036	261
FBgn0029174	Fkbp59	1535
FBgn0010520	Bka	175
FBgn0024285	Srp54	1413
FBgn0040064	yip2	783
FBgn0032160	CG4598	496
FBgn0032161	CG4594	97
FBgn0032162	CG4592	111
FBgn0259712	CG42366	10
FBgn0266359	asRNA:CR45007	204
FBgn0032166	CG4619	1158
FBgn0267611	lncRNA:CR45949	91
FBgn0032169	CG4709	370
FBgn0032170	CG4658	876
FBgn0263766	asRNA:CR43683	11
FBgn0011272	RpL13	1345
FBgn0000180	bib	16
FBgn0043456	Ndf	4464
FBgn0011584	Trp1	558
FBgn0032176	CG13127	2
FBgn0027600	obst-B	3
FBgn0053301	CG33301	1
FBgn0266168	lncRNA:CR44874	1
FBgn0053302	Cpr31A	0
FBgn0267727	Pen	5226
FBgn0032178	Spn31A	151
FBgn0083945	CG34109	49
FBgn0032187	CG4839	15
FBgn0032188	CG13137	0
FBgn0005593	RpL7	1329
FBgn0032194	CG4901	1551
FBgn0250843	Prosalpha6	1082
FBgn0032195	CG4908	631
FBgn0032198	eEF1delta	2506
FBgn0004419	me31B	1348
FBgn0266330	asRNA:CR44995	70
FBgn0051717	CG31717	272
FBgn0010407	Ror	146
FBgn0032202	REPTOR-BP	290
FBgn0259482	Mob3	782
FBgn0032204	CG4953	846
FBgn0032205	CG4957	312
FBgn0260750	Mulk	606
FBgn0032214	CG4968	682
FBgn0032217	CG4972	1132
FBgn0032219	CG4995	4
FBgn0032222	CG5037	886
FBgn0032223	GATAd	2377
FBgn0019932	SamDC	1050
FBgn0051715	CG31715	379
FBgn0032224	Sps2	518
FBgn0032225	CG5022	48
FBgn0032229	CG5045	384
FBgn0003087	pim	245
FBgn0032230	lft	18
FBgn0032231	CG5056	499
FBgn0032233	dpr19	23
FBgn0032234	gny	560
FBgn0032235	CG5096	108
FBgn0032236	mRpS7	301
FBgn0267821	da	3053
FBgn0051716	Cnot4	2332
FBgn0051718	Ir31a	6
FBgn0032243	Klp31E	399
FBgn0032244	RfC3	334
FBgn0032246	Wdfy2	2567
FBgn0267330	KdelR	1776
FBgn0032247	CG5188	340
FBgn0004915	TfIIB	1087
FBgn0032250	holn1	406
FBgn0027052	STUB1	832
FBgn0032251	Nse4	214
FBgn0032252	loh	30
FBgn0027611	LManII	36
FBgn0032256	RluA-2	835
FBgn0026431	Grip75	856
FBgn0032259	CG6144	188
FBgn0265155	asRNA:CR44224	31
FBgn0032261	CG6094	40
FBgn0010398	Lrr47	217
FBgn0032264	Lip4	13
FBgn0032265	CG18301	1
FBgn0032266	CG18302	1
FBgn0266891	lncRNA:CR45351	0
FBgn0051872	CG31872	0
FBgn0043825	CG18284	0
FBgn0265264	CG17097	0
FBgn0032276	CG17098	0
FBgn0051871	CG31871	0
FBgn0040496	CG17104	0
FBgn0265070	asRNA:CR44181	0
FBgn0032287	CG6415	61
FBgn0032289	CG6431	1
FBgn0032290	CG6443	532
FBgn0032291	CG17118	70
FBgn0032295	CG12299	1039
FBgn0027550	CG6495	27
FBgn0032303	CG6508	0
FBgn0032304	CG17134	0
FBgn0262599	SmydA-3	8
FBgn0027363	Stam	2221
FBgn0265683	lncRNA:CR44490	0
FBgn0032321	YL-1	577
FBgn0032322	CG16743	69
FBgn0041781	SCAR	2441
FBgn0026148	CG12253	285
FBgn0026147	TTLL4A	2467
FBgn0021761	Nup154	3692
FBgn0250837	dUTPase	344
FBgn0023415	Acp32CD	0
FBgn0032331	CG14913	1
FBgn0032338	CG16854	0
FBgn0032339	Wdr59	832
FBgn0261983	l(2)gd1	1277
FBgn0041246	Gr32a	14
FBgn0262647	Nup160	1621
FBgn0032348	CG4751	2379
FBgn0040211	hgo	16
FBgn0032354	CG4788	102
FBgn0264442	ab	19
FBgn0040233	cana	873
FBgn0052831	CG33695	831
FBgn0032358	Ppt2	325
FBgn0020270	mre11	1160
FBgn0000287	salr	13
FBgn0263087	CG43355	0
FBgn0003313	sala	0
FBgn0032362	spz4	0
FBgn0032364	CG4970	1281
FBgn0085191	CG34162	2
FBgn0265688	lncRNA:CR44495	0
FBgn0015400	kek2	7
FBgn0032371	CG4983	0
FBgn0032372	CG4988	0
FBgn0264992	lncRNA:CR44143	0
FBgn0264994	lncRNA:CR44145	0
FBgn0032373	Vha100-5	3
FBgn0032374	CG14931	12
FBgn0032375	CG14932	14
FBgn0032381	Mal-B1	0
FBgn0032382	Mal-B2	277
FBgn0026392	Or33a	0
FBgn0026391	Or33b	0
FBgn0026390	Or33c	0
FBgn0005664	Crys	0
FBgn0032387	CG16965	43
FBgn0032390	dgt2	499
FBgn0032391	escl	447
FBgn0051866	Ada1-2	20
FBgn0051864	Qtzl	7
FBgn0051865	Ada1-1	0
FBgn0032393	Nfs1	974
FBgn0014019	Rh5	0
FBgn0010497	dmGlut	862
FBgn0042126	CG18788	162
FBgn0267739	asRNA:CR46070	2
FBgn0032402	CG14945	44
FBgn0032404	RpL7-like	927
FBgn0032406	CG14947	0
FBgn0265802	lncRNA:CR44591	1
FBgn0265803	asRNA:CR44592	0
FBgn0265804	lncRNA:CR44593	1
FBgn0032407	Pex19	1043
FBgn0028707	Mt2	125
FBgn0032409	Ced-12	1451
FBgn0027081	ThrRS	3993
FBgn0263234	Phae1	1
FBgn0263235	Phae2	0
FBgn0032414	CG17211	7
FBgn0032416	Gr33a	0
FBgn0032421	crok	514
FBgn0000114	bru1	17
FBgn0051759	CG31759	418
FBgn0262475	bru2	172
FBgn0032424	CG17010	0
FBgn0041195	Pkd2	2
FBgn0032428	CG6405	8
FBgn0032430	CG6388	1483
FBgn0020443	eRF3	2045
FBgn0032435	Oatp33Eb	0
FBgn0032437	CR17024	5
FBgn0261709	lncRNA:CR42746	0
FBgn0265807	lncRNA:CR44596	0
FBgn0265806	lncRNA:CR44595	0
FBgn0085424	nub	9
FBgn0004394	pdm2	0
FBgn0032445	CG6153	70
FBgn0032447	PICK1	39
FBgn0032451	spict	980
FBgn0032453	CG6180	383
FBgn0032456	MRP	3988
FBgn0040508	ACXC	0
FBgn0040509	ACXB	0
FBgn0040510	ACXA	0
FBgn0040506	ACXE	1
FBgn0265072	lncRNA:CR44183	2
FBgn0032462	CG16800	0
FBgn0263598	Vha68-2	3305
FBgn0032464	Vha68-3	220
FBgn0021796	Tor	3260
FBgn0265086	lncRNA:CR44197	0
FBgn0032470	Ttc30	0
FBgn0262352	CG43050	1
FBgn0032471	CG5122	3
FBgn0028410	Pk34A	0
FBgn0032473	kmg	24
FBgn0024291	Sirt1	5243
FBgn0267989	asRNA:CR46256	4
FBgn0032476	CG5439	1224
FBgn0032477	CG5287	2978
FBgn0032478	CG5458	808
FBgn0032480	Edem2	3817
FBgn0032482	Pect	32846
FBgn0032486	mRF1	670
FBgn0032488	CG16812	2289
FBgn0032490	CG16813	1
FBgn0032491	CG16815	0
FBgn0032492	Prosalpha6T	0
FBgn0027586	CG5867	3
FBgn0032494	CG5945	1
FBgn0266869	asRNA:CR45330	0
FBgn0032495	CG16820	73
FBgn0284244	l(2)k05911	12
FBgn0051851	Naa20B	1
FBgn0264894	CG44085	2095
FBgn0264892	asRNA:CR44083	92
FBgn0032499	Uvrag	1201
FBgn0051729	CG31729	5297
FBgn0032503	CG16825	5
FBgn0032505	CG16826	0
FBgn0032509	CG6523	198
FBgn0051852	Tap42	563
FBgn0051855	CG31855	440
FBgn0032513	CG6565	1069
FBgn0025724	beta'COP	6742
FBgn0032515	loqs	428
FBgn0032517	CG7099	902
FBgn0032521	CG7110	2877
FBgn0032522	CG16848	17
FBgn0264432	CG43850	0
FBgn0026760	Tehao	33
FBgn0053641	CG33641	9
FBgn0053642	CG33642	8
FBgn0028942	CG16852	1
FBgn0028941	CG16853	2
FBgn0259984	kuz	48959
FBgn0028527	CG18507	1
FBgn0028848	Gpo3	0
FBgn0266140	lncRNA:CR44846	1
FBgn0028541	TM9SF4	2499
FBgn0051845	asRNA:CR31845	1
FBgn0024846	p38b	1166
FBgn0028539	Eato	1439
FBgn0028931	CG16863	652
FBgn0028538	Sec71	3743
FBgn0027844	CAH1	37
FBgn0028919	CG16865	332
FBgn0001965	Sos	2636
FBgn0000153	b	48
FBgn0015271	Orc5	376
FBgn0026373	RpII33	429
FBgn0028509	CenG1A	733
FBgn0028534	CG7916	52
FBgn0028533	CG7953	125
FBgn0028532	CG7968	106
FBgn0012037	Ance	3
FBgn0032535	Ance-2	3
FBgn0032536	Ance-3	7
FBgn0261514	NimA	2
FBgn0027929	NimB1	4
FBgn0028936	NimB5	60
FBgn0028940	Cyp28a5	20
FBgn0028939	NimC2	0
FBgn0027348	bgm	28
FBgn0266143	asRNA:CR44849	0
FBgn0028519	hll	19
FBgn0265941	lncRNA:CR44728	5
FBgn0261563	wb	114
FBgn0052971	CG32971	1
FBgn0261529	ms(2)34Fe	2
FBgn0028916	CG33090	266
FBgn0028531	CG15286	128
FBgn0266144	asRNA:CR44850	1
FBgn0015791	Rab14	239
FBgn0001970	Pgant35A	1014
FBgn0015546	spel1	628
FBgn0265944	lncRNA:CR44731	0
FBgn0005771	noc	21
FBgn0053648	CG33648	0
FBgn0000055	Adh	3
FBgn0000056	Adhr	2
FBgn0051835	CG31835	0
FBgn0260953	CG42585	0
FBgn0028870	CG4691	0
FBgn0266152	lncRNA:CR44858	0
FBgn0028838	CSN1a	0
FBgn0028868	CG4701	0
FBgn0250834	CG33308	0
FBgn0053309	CG33309	1
FBgn0261568	CG42682	0
FBgn0028887	CG3491	0
FBgn0040228	DCTN5-p25	114
